thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
76,172,134,264,74,305
76,171,134,264,74,304
76,172,134,264,74,304
76,171,133,265,74,304
75,171,132,264,74,304
76,172,133,264,74,304
75,172,134,264,75,305
76,172,133,264,74,305
77,171,134,264,74,304
75,172,133,264,74,305
76,172,134,264,75,304
76,172,134,264,74,304
76,171,134,264,74,304
76,172,133,263,74,304
76,172,133,264,74,304
76,172,134,264,74,304
76,172,134,264,74,304
76,172,134,264,74,304
76,172,133,264,74,304
76,172,134,264,74,305
75,172,135,264,74,304
76,172,134,264,74,305
76,171,133,264,74,304
76,172,134,264,74,305
76,172,133,264,74,304
76,172,134,265,74,304
76,172,133,264,73,304
76,172,133,265,74,305
76,172,134,264,73,305
76,171,133,265,74,304
76,171,134,264,75,304
76,172,134,264,73,303
76,173,134,264,74,305
76,173,134,264,74,304
76,172,133,264,74,304
76,172,133,264,74,306
76,173,133,264,74,303
76,172,134,264,74,304
76,172,133,264,74,305
75,172,133,264,74,304
76,172,134,264,74,304
76,171,134,264,74,305
75,172,134,264,74,304
76,172,134,264,75,304
76,173,133,264,74,305
76,173,134,264,75,305
76,172,133,265,74,305
76,171,134,264,74,305
76,172,134,264,74,305
76,172,133,264,74,305
75,172,134,264,74,304
76,172,132,264,74,305
77,171,134,264,75,304
76,172,133,264,75,305
76,172,133,264,75,305
76,172,134,265,74,304
76,172,134,265,74,305
76,172,133,264,74,304
75,171,134,265,74,305
76,172,134,265,75,305
76,172,133,265,75,304
76,172,133,265,74,305
76,172,133,264,74,304
76,172,134,265,74,305
76,172,134,264,74,305
76,172,133,265,75,304
76,171,134,265,74,304
76,172,134,264,75,305
76,172,134,264,74,305
77,172,133,264,74,304
76,172,134,264,74,305
76,171,133,264,74,305
76,172,134,265,74,305
76,173,134,265,74,305
76,171,134,265,74,305
77,173,134,264,74,305
76,171,133,265,74,305
76,172,134,264,75,305
76,171,134,265,75,305
76,172,134,264,75,305
76,172,134,265,74,305
76,172,134,264,75,306
76,172,134,265,75,306
76,172,134,264,74,305
76,172,134,264,74,305
76,172,133,265,74,305
76,172,135,265,74,306
76,171,134,265,74,306
77,172,134,265,74,305
76,172,134,264,74,304
76,172,134,265,74,305
77,172,134,264,75,306
76,172,134,265,74,306
76,172,134,264,75,306
76,171,133,264,74,305
76,172,134,265,75,305
76,172,134,264,74,305
76,172,133,265,75,304
76,171,134,264,74,305
76,173,134,265,74,305
76,172,134,265,75,305
76,172,134,265,75,305
