thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
544,605,586,710,503,904
538,599,583,705,501,896
540,601,583,705,499,899
540,601,580,702,499,897
543,605,585,708,503,903
539,602,582,703,499,895
536,595,580,704,501,900
538,599,580,701,498,893
535,596,579,700,496,891
537,599,581,701,498,895
537,601,581,702,503,902
538,599,580,701,498,894
537,598,581,701,498,894
537,599,582,703,499,896
537,599,585,711,502,902
536,598,579,702,498,895
536,599,582,704,499,898
535,599,580,702,497,894
537,600,585,708,501,901
537,601,583,705,500,900
538,601,583,705,499,899
537,613,596,720,508,917
550,609,590,714,506,910
541,604,583,704,503,905
539,601,584,707,499,899
537,599,581,707,500,899
540,603,584,708,502,903
538,600,581,704,500,897
537,601,583,707,502,899
538,602,583,707,502,900
539,601,584,707,500,901
537,602,585,709,503,902
538,601,583,707,502,902
539,602,586,709,502,904
540,604,586,709,503,903
540,603,585,708,503,903
539,602,585,707,502,904
537,602,585,708,500,902
538,609,591,715,506,910
543,608,587,714,505,909
543,607,585,713,506,908
543,606,585,712,505,906
541,604,583,709,501,903
539,602,582,708,498,902
539,602,582,706,498,902
538,602,582,708,500,902
538,601,581,707,498,901
537,602,579,707,499,901
537,602,580,707,498,901
541,603,580,708,500,901
541,605,581,709,502,906
541,604,581,709,501,906
541,604,582,710,501,906
541,605,582,711,501,906
541,604,581,710,501,905
545,607,588,713,503,910
544,608,589,713,503,911
544,608,588,716,505,911
545,608,587,713,503,911
544,608,586,714,503,911
544,607,585,713,501,909
544,608,586,713,501,908
543,606,585,712,499,908
542,606,585,711,499,908
544,608,586,713,499,911
543,608,585,713,498,910
544,607,585,713,498,910
543,607,586,712,498,909
541,606,585,712,497,910
540,607,585,712,498,909
537,607,585,712,499,908
536,608,587,713,500,911
537,609,586,714,501,910
538,609,585,713,501,910
537,609,585,712,500,909
538,609,584,712,501,911
539,610,579,713,501,910
539,609,578,714,500,911
539,609,578,714,500,910
539,608,580,713,500,909
539,609,579,713,500,910
540,609,579,714,501,910
541,609,578,712,500,910
539,609,578,713,500,908
539,607,580,712,499,910
539,608,578,714,499,908
540,608,579,712,499,909
540,608,579,712,501,908
540,609,579,713,499,909
540,608,579,713,501,914
541,608,580,714,500,911
541,609,579,714,502,911
540,609,580,712,501,909
540,609,579,713,501,909
539,608,580,712,501,910
541,609,581,713,500,910
540,608,581,713,500,910
541,609,580,711,500,911
541,608,580,712,501,909
540,609,579,714,502,909
541,609,580,713,502,911
541,608,579,714,501,910
541,609,579,712,501,909
542,609,580,713,503,910
542,610,580,714,500,911
541,609,579,714,502,909
541,610,581,714,502,909
542,609,580,713,502,910
542,610,580,717,502,910
543,610,582,715,503,911
543,611,582,715,503,912
543,610,582,716,504,912
