thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
711,404,558,677,548,951
712,405,559,677,549,951
712,404,559,678,549,951
712,404,558,678,550,951
712,404,558,678,550,950
713,405,558,679,550,951
711,405,557,679,549,951
711,405,556,678,550,952
712,405,555,678,549,951
711,403,554,679,548,950
710,403,554,679,548,951
710,402,554,678,548,951
710,402,556,679,547,951
709,400,553,678,546,951
709,400,553,678,544,950
709,400,553,678,545,950
708,399,553,680,545,950
708,401,554,679,544,950
710,401,554,678,545,950
709,400,554,679,544,950
710,400,554,680,543,949
710,398,555,678,543,951
708,400,555,678,542,949
709,401,555,678,543,950
709,400,555,678,542,950
709,400,555,678,543,950
709,401,556,678,544,950
710,402,555,679,542,950
709,403,556,678,544,950
710,404,557,679,544,950
710,403,557,679,543,950
710,405,557,679,544,950
710,405,557,679,544,950
712,405,557,679,544,950
710,406,557,679,544,950
710,407,558,679,545,951
711,406,557,679,545,950
711,405,557,679,545,950
712,403,557,679,545,950
712,404,557,679,545,951
710,404,558,680,546,951
712,404,559,680,545,951
712,405,559,679,546,951
712,406,558,679,545,950
711,406,559,680,545,948
712,406,559,679,546,950
713,408,560,680,546,950
712,407,560,679,546,951
712,407,560,680,545,951
713,407,560,679,546,951
712,407,560,680,547,950
713,407,560,680,546,950
712,407,560,679,547,953
713,407,560,680,547,950
712,409,560,678,546,951
713,408,561,678,547,950
714,408,561,680,547,951
713,407,561,679,547,951
713,408,561,678,547,951
712,408,562,679,547,951
713,408,562,679,546,950
713,409,562,679,547,950
713,409,562,679,546,952
713,409,561,680,547,951
712,409,561,680,547,951
712,408,560,679,547,951
712,410,561,680,547,951
712,410,561,679,546,951
713,409,562,680,548,951
713,410,562,678,547,951
712,410,562,679,547,951
713,410,562,679,548,951
713,409,563,679,549,950
713,411,562,679,548,952
714,410,562,680,548,951
713,410,562,680,548,951
714,410,562,679,548,951
714,410,562,680,548,951
713,410,562,679,548,951
713,410,562,679,548,952
713,410,562,680,548,951
715,411,562,680,549,951
713,410,561,680,549,951
714,411,561,680,549,950
712,411,561,680,549,951
712,413,561,679,548,951
712,411,563,679,548,952
712,412,560,679,549,951
712,411,561,678,549,950
712,410,561,679,549,951
712,411,562,678,549,949
712,412,561,679,549,952
711,412,562,678,549,952
711,413,561,678,549,951
711,412,561,678,549,950
712,413,561,678,549,950
712,414,562,679,550,950
712,414,561,679,549,952
711,415,563,678,549,952
712,414,562,678,550,950
712,414,562,678,549,950
712,413,563,678,549,950
712,413,563,678,549,950
713,413,564,678,549,951
712,413,563,678,547,950
713,414,563,677,549,950
713,414,563,677,548,950
712,415,562,677,549,951
712,413,564,677,549,950
713,413,563,677,548,950
712,414,563,678,549,951
713,414,563,677,549,950
712,415,563,678,549,950
712,415,562,678,548,950
711,415,562,677,548,949
712,414,564,676,549,950
712,414,561,677,549,950
712,414,563,676,548,950
712,415,562,676,549,950
712,414,562,676,548,950
712,415,562,676,549,951
712,414,563,676,549,951
711,415,563,676,550,950
712,413,563,676,549,950
712,414,563,676,552,950
712,414,563,676,549,951
713,414,564,677,549,949
713,414,562,677,549,950
713,414,564,675,549,950
712,415,564,676,549,949
712,414,564,676,549,950
712,414,563,675,549,950
712,414,562,676,549,950
711,415,562,674,549,949
712,414,563,676,550,950
712,413,563,677,549,949
712,414,563,676,549,949
712,413,563,676,549,947
712,414,562,676,548,949
711,412,563,675,548,948
711,413,562,675,549,949
712,413,562,675,548,949
712,414,562,675,548,950
711,413,562,675,549,950
712,413,563,675,549,949
712,414,562,675,549,949
712,413,563,676,549,949
712,413,563,676,549,949
712,413,563,676,548,949
712,413,563,675,548,950
711,413,562,675,548,950
712,412,562,675,549,949
711,413,562,675,549,949
712,412,562,676,548,949
711,412,562,675,547,949
713,412,563,676,547,949
711,413,562,675,547,950
711,412,562,675,547,949
712,412,563,675,548,949
711,412,563,674,548,949
710,412,562,676,547,949
710,412,563,675,548,950
711,412,563,675,547,948
709,411,563,675,548,950
710,411,562,675,548,949
710,411,562,675,547,949
710,412,562,676,548,949
710,412,562,676,549,949
710,411,562,676,548,949
710,411,561,675,549,949
709,410,562,675,548,950
709,409,561,676,548,948
710,410,563,675,548,949
710,411,563,676,549,949
710,408,563,675,548,949
711,409,562,675,549,949
710,408,562,675,548,948
710,409,561,675,548,949
710,409,562,675,548,948
711,407,561,675,548,949
710,409,561,674,547,949
710,409,561,675,548,949
710,409,561,675,548,950
709,408,561,675,549,948
710,408,561,674,546,949
710,408,561,675,548,949
711,408,561,675,548,948
711,408,560,674,549,949
711,408,561,674,549,949
711,408,561,675,549,949
711,408,561,675,548,948
710,408,561,674,549,948
710,407,561,674,548,949
710,408,561,674,548,948
710,408,560,675,549,948
710,407,560,674,548,948
711,408,561,675,548,949
710,407,561,675,548,948
711,407,561,675,549,949
710,407,560,674,548,948
710,407,560,674,549,949
710,406,563,674,549,947
711,406,561,675,549,949
710,406,560,675,549,945
711,407,562,674,548,948
711,406,560,675,549,948
711,406,557,675,549,948
711,406,561,675,549,949
711,408,561,675,548,949
712,407,560,675,548,948
711,407,560,674,549,948
711,407,561,675,549,949
712,406,560,674,550,949
712,407,560,675,550,950
710,406,560,674,549,949
711,407,560,674,549,950
712,407,560,673,549,948
712,408,560,675,550,949
711,407,560,675,549,949
711,407,560,675,549,948
711,407,561,674,549,949
711,407,561,675,549,949
710,407,560,674,549,949
711,406,561,674,549,949
710,407,561,674,550,949
710,406,561,675,550,950
710,407,560,675,549,949
711,406,562,674,549,949
712,406,562,674,549,949
712,407,561,674,549,949
711,407,562,675,550,949
711,407,562,675,550,949
711,408,562,675,550,949
711,409,561,674,549,950
712,408,563,675,550,949
711,408,562,675,549,949
711,407,562,674,549,949
711,408,563,674,549,949
712,409,562,675,549,948
711,408,563,675,549,949
712,408,563,674,549,949
712,408,563,674,549,950
711,409,562,674,549,949
711,408,563,674,549,949
712,408,562,675,550,949
711,408,562,674,550,949
711,408,562,674,551,949
711,407,560,673,550,949
712,408,560,674,551,949
711,408,560,673,551,949
711,407,559,673,550,949
710,407,559,672,550,949
711,408,558,672,551,949
711,408,559,672,549,953
710,407,558,671,550,950
711,407,558,671,550,949
710,407,558,672,550,948
711,407,557,672,551,949
711,407,558,671,550,949
709,408,558,672,551,949
711,407,559,672,551,949
710,407,559,673,551,949
710,406,559,673,550,949
710,406,559,672,551,948
710,408,559,672,552,950
