thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
387,407,355,503,188,882
385,407,355,503,189,882
387,406,356,504,189,881
387,406,356,504,189,881
387,407,356,504,189,882
387,406,356,503,189,882
387,407,357,503,189,882
387,407,356,503,189,882
386,407,355,503,189,881
387,407,356,503,189,881
386,406,356,504,189,882
386,407,356,503,189,881
387,407,356,503,189,881
387,407,356,504,189,881
387,407,356,503,189,881
387,407,356,503,190,882
388,407,356,503,190,881
388,406,357,503,190,881
387,407,356,504,189,882
387,407,357,505,189,882
387,407,357,503,189,882
387,407,356,504,190,881
387,407,356,504,189,881
387,407,356,504,190,881
386,407,356,504,190,881
388,408,356,503,189,880
388,405,357,503,189,880
387,407,356,503,187,880
387,407,356,502,187,880
387,407,356,503,186,880
386,406,357,503,185,879
386,406,356,503,184,879
386,406,356,502,184,879
385,405,356,502,184,878
385,406,355,502,183,879
386,405,356,501,184,878
386,406,357,502,183,878
386,406,355,501,183,879
386,405,356,502,184,879
387,406,356,501,183,879
387,407,357,502,184,879
386,406,356,502,183,878
387,406,356,502,184,878
386,407,356,502,183,878
387,406,356,502,184,878
386,406,357,502,184,878
386,405,357,502,185,878
387,406,356,503,185,879
386,407,358,502,184,879
387,406,356,502,184,878
387,407,356,502,184,878
387,406,357,502,185,878
387,406,356,502,186,880
387,406,356,503,185,878
387,406,357,502,185,878
387,407,357,502,186,878
386,406,356,502,186,880
387,406,357,503,186,878
387,405,356,503,186,879
386,406,356,503,185,879
386,406,356,503,185,878
386,406,357,501,185,879
386,407,357,503,185,880
386,407,357,503,185,879
387,406,357,503,184,878
386,406,357,503,185,878
387,407,356,503,184,878
387,406,356,503,184,879
386,406,356,503,184,879
386,406,357,503,184,878
388,406,357,502,185,878
387,406,356,504,183,879
387,405,356,503,184,879
386,407,356,504,184,878
387,407,357,503,184,879
387,406,356,504,183,879
387,407,356,503,184,879
388,406,356,503,184,879
387,406,356,503,183,879
387,407,357,503,184,879
386,406,356,503,183,880
388,406,356,504,184,880
387,406,356,503,183,879
387,406,356,503,184,879
387,406,357,503,183,879
386,406,357,503,184,879
386,407,357,503,183,878
387,406,357,502,184,879
387,407,356,503,184,879
387,406,356,504,184,879
387,406,356,503,183,880
387,407,357,501,184,879
387,406,357,503,183,879
387,407,357,503,184,879
387,406,356,502,184,879
388,406,357,504,184,878
387,406,356,502,184,879
387,406,356,503,183,879
387,406,356,502,183,880
386,406,356,502,183,879
387,407,357,503,184,878
387,407,357,502,184,880
387,405,357,502,184,878
388,406,357,503,184,879
387,407,357,502,184,880
387,407,357,502,184,879
388,406,358,502,185,879
388,407,357,502,184,880
387,406,357,503,184,879
387,406,357,502,184,880
387,406,356,503,184,879
388,406,357,502,184,880
387,407,356,503,184,880
387,407,357,503,184,879
388,407,356,502,184,879
387,406,357,503,184,879
388,406,357,504,185,878
388,407,357,503,184,879
388,406,357,502,184,879
387,406,357,503,184,880
387,407,356,502,185,879
388,407,357,503,184,879
388,407,357,503,185,879
388,407,357,504,185,879
388,406,358,504,184,879
387,407,357,503,184,879
388,406,357,504,185,879
388,408,358,504,184,879
388,408,357,503,186,878
388,407,357,504,185,877
388,407,357,503,184,879
388,407,358,503,185,878
387,407,358,504,185,878
387,407,357,503,184,878
387,407,357,503,184,879
388,407,357,503,184,879
388,407,357,503,185,879
388,407,358,503,184,879
388,407,358,503,184,879
388,407,358,503,184,878
388,407,357,502,185,878
388,407,358,503,184,878
388,406,357,503,184,878
387,406,357,503,184,878
387,407,358,502,184,878
387,407,357,503,184,879
388,407,357,503,184,878
388,407,357,502,184,877
388,407,358,503,184,878
387,406,358,504,184,879
388,406,357,502,185,878
388,407,357,503,184,878
387,406,357,502,184,878
388,408,357,503,185,877
387,406,357,502,184,877
387,407,357,502,183,877
387,406,357,501,184,877
387,406,358,501,183,877
388,406,358,501,183,878
387,406,357,502,184,878
388,406,357,501,184,877
387,407,358,502,184,877
388,408,357,502,184,878
388,406,357,501,184,878
388,407,358,502,184,878
388,406,357,502,184,878
387,407,357,502,184,878
388,406,357,502,185,878
388,407,357,503,185,878
388,406,357,501,185,878
388,407,357,503,184,877
389,406,357,502,184,877
388,407,357,503,184,878
388,407,357,503,185,878
388,407,357,502,184,878
388,407,357,501,184,878
388,406,357,502,184,878
389,406,357,503,183,879
388,406,356,502,183,879
388,407,357,501,183,878
388,406,356,502,183,878
388,406,356,503,183,878
388,406,357,502,183,878
388,406,356,503,183,878
388,407,356,503,184,878
387,406,357,503,183,878
387,407,356,502,184,878
388,407,357,503,184,878
388,407,356,502,184,879
388,406,356,502,183,878
387,407,356,502,184,878
388,406,356,502,183,878
388,407,357,503,183,878
388,406,357,503,184,879
388,407,358,502,183,878
388,407,357,502,183,878
388,406,357,502,183,879
388,406,357,503,184,879
388,406,357,502,182,878
388,407,356,502,183,879
387,405,356,502,183,879
387,406,356,502,183,879
388,406,357,502,183,879
388,407,356,502,183,879
387,406,356,502,183,879
388,407,356,503,184,878
388,406,357,502,185,879
388,406,356,503,184,880
388,407,356,502,184,879
388,407,356,502,184,879
388,407,357,502,184,879
387,407,356,502,183,879
388,407,356,502,184,879
388,407,357,502,184,880
388,405,357,502,184,878
387,407,357,502,183,879
388,407,356,502,185,879
388,407,356,502,183,879
388,407,357,502,184,879
388,406,356,502,184,880
389,407,356,503,185,879
389,407,356,502,184,879
389,407,357,503,185,879
389,408,357,503,184,878
389,407,357,503,184,879
389,407,357,503,185,879
389,407,356,502,185,880
388,407,358,503,185,879
389,407,357,502,184,879
389,407,357,503,184,879
389,408,357,503,184,879
389,408,357,504,184,879
389,408,358,503,185,879
389,407,357,502,185,879
389,408,357,503,185,879
389,407,357,503,185,881
389,406,357,503,185,879
389,407,357,503,185,878
389,407,357,503,184,880
389,407,357,503,185,880
389,407,358,503,184,879
390,407,357,503,184,880
390,407,357,503,185,880
389,407,358,503,185,879
390,408,356,503,184,880
389,407,357,504,185,879
389,407,357,504,185,879
389,407,357,503,184,879
389,408,357,503,185,879
390,408,357,503,185,879
389,408,357,504,184,879
389,407,358,502,185,879
390,408,357,503,185,879
389,407,357,504,185,880
389,407,357,503,185,880
390,408,357,503,186,879
389,408,357,503,186,880
389,407,358,503,186,880
389,408,358,503,185,880
390,407,357,503,186,878
390,407,357,503,186,880
390,407,358,503,185,879
390,408,357,503,186,880
390,408,357,503,186,879
389,408,358,503,185,880
390,408,357,504,186,879
390,408,358,503,186,878
390,408,357,504,186,879
389,408,357,504,185,880
390,407,358,504,186,880
390,408,357,503,186,878
390,408,358,503,186,880
390,407,358,503,186,879
390,408,358,504,186,881
389,407,358,503,186,880
389,406,358,503,186,880
389,409,358,504,186,880
389,408,357,502,186,880
390,407,357,504,186,879
389,408,357,504,187,880
390,407,357,504,187,880
389,408,358,503,186,880
389,407,358,503,186,880
389,407,357,503,185,881
390,408,357,504,186,880
388,407,357,503,185,880
390,408,357,504,186,880
389,407,357,503,186,880
389,408,357,504,186,881
388,408,357,503,185,880
390,408,357,504,186,879
390,407,357,504,186,880
388,407,357,504,185,880
388,407,357,503,186,879
390,408,358,504,186,880
389,409,357,504,186,880
389,408,358,503,186,880
390,407,357,504,186,880
389,408,357,504,186,880
390,408,357,504,186,880
390,408,357,504,186,880
390,408,358,503,186,880
389,407,357,503,186,879
389,408,357,503,187,880
389,405,357,504,186,880
389,408,356,503,185,880
390,408,357,502,186,879
389,407,357,504,186,880
389,408,358,503,186,878
389,408,357,504,187,880
390,408,357,504,186,879
389,407,357,503,185,881
390,408,357,504,186,880
390,407,357,504,187,880
389,408,357,504,186,880
389,408,358,504,186,880
389,407,357,503,186,881
389,408,357,503,186,880
390,407,357,503,187,880
389,407,357,504,187,878
389,408,357,503,186,880
389,407,357,503,186,880
390,407,358,503,186,880
390,407,357,504,187,882
390,407,358,503,186,880
390,407,358,504,187,881
390,407,359,504,186,880
390,407,358,504,187,880
389,407,357,504,187,881
390,407,357,504,187,880
391,407,358,504,186,880
390,407,357,504,186,882
390,408,358,504,187,880
389,408,358,503,186,881
390,407,357,503,187,881
390,407,358,504,187,881
390,406,358,503,186,881
391,407,358,504,186,881
390,407,358,504,186,880
390,407,358,504,187,880
390,407,357,503,187,880
390,407,358,504,186,880
390,407,358,504,186,881
390,407,358,503,186,880
390,408,358,503,186,881
390,407,358,504,186,881
390,407,358,504,187,880
389,407,357,503,186,881
390,408,358,503,187,881
390,407,358,504,186,879
390,407,358,503,186,880
390,407,358,504,186,880
390,407,358,503,186,881
390,407,358,503,187,880
390,407,357,502,186,880
