thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
271,233,234,412,144,459
271,234,234,412,144,457
271,233,234,413,145,458
271,233,234,413,144,460
271,234,234,414,145,463
272,234,234,414,144,468
272,234,235,413,145,467
271,234,234,414,145,469
271,234,234,415,146,473
270,236,234,414,145,474
270,236,234,415,145,475
271,236,234,415,145,484
269,235,234,415,145,483
270,235,234,415,145,482
270,235,234,415,145,483
269,235,235,415,145,485
271,236,234,415,146,487
270,235,235,415,145,490
271,236,234,415,146,492
272,236,235,415,146,491
272,236,234,415,145,492
272,235,235,416,146,492
272,237,235,415,146,494
272,235,235,415,146,497
273,236,235,416,146,498
273,237,235,415,146,498
273,237,235,416,146,499
273,238,235,416,144,501
273,238,235,415,146,500
272,237,235,415,146,501
273,238,234,415,146,500
273,239,235,415,147,499
273,238,235,414,146,499
272,239,235,415,146,497
274,240,235,414,146,497
273,239,235,415,146,498
274,239,235,415,146,498
273,240,235,415,146,497
274,239,235,415,146,496
274,239,234,416,146,498
273,240,234,415,146,498
273,239,234,415,146,498
274,240,234,416,146,499
273,240,234,415,146,497
274,240,235,416,146,498
274,240,234,417,146,499
275,240,235,416,146,499
273,241,235,415,146,501
274,241,235,417,146,501
274,241,235,416,146,499
274,241,236,417,146,497
274,240,236,417,146,496
274,241,235,417,147,498
274,242,236,417,147,500
274,241,234,417,146,499
274,242,234,417,146,498
274,241,236,417,146,497
274,240,236,416,146,496
275,241,236,416,147,498
274,241,236,415,147,498
274,241,236,416,146,501
276,242,235,416,146,502
274,241,236,416,146,501
274,241,235,416,147,498
273,241,236,415,146,497
273,241,235,415,146,498
274,241,235,414,146,498
274,242,235,413,147,498
274,241,235,411,146,499
274,240,235,411,146,497
274,241,235,410,147,494
275,241,234,411,147,494
275,241,234,410,147,493
274,242,234,410,146,494
274,242,235,409,146,495
274,241,234,408,146,495
273,241,234,408,147,494
275,241,235,408,147,493
274,240,235,408,146,493
273,241,233,409,146,495
274,241,233,410,147,494
273,240,234,409,147,494
274,240,234,409,147,495
274,241,233,409,148,496
274,241,234,410,146,495
274,240,234,409,148,494
274,242,233,411,147,495
273,241,235,411,147,494
274,241,234,412,148,494
274,242,234,413,147,495
274,241,235,412,147,495
274,242,234,412,147,496
274,243,235,414,148,496
274,241,235,414,147,497
275,242,235,415,149,496
274,242,235,415,148,494
275,242,235,415,148,496
274,242,234,415,148,496
275,242,235,415,147,495
274,242,235,415,147,495
274,242,235,414,147,496
274,242,235,415,148,496
274,242,236,414,147,499
274,242,236,414,147,498
275,242,235,414,147,498
275,242,236,413,146,498
275,242,235,414,147,498
275,242,235,413,147,498
275,242,236,414,146,496
274,243,235,413,146,494
274,242,234,412,145,491
274,242,234,415,146,489
273,242,234,413,146,491
273,240,234,412,145,488
273,240,234,412,145,486
272,240,234,412,146,489
273,240,234,412,144,486
273,240,233,411,145,491
273,240,234,412,146,490
273,241,234,412,145,488
273,241,234,413,145,492
274,242,234,412,145,495
274,242,234,411,145,493
275,242,234,413,145,496
274,241,234,414,145,496
274,241,234,415,145,498
275,241,234,414,146,499
275,242,235,414,146,499
274,241,234,413,145,500
275,242,235,414,144,502
274,241,235,413,145,502
274,242,235,414,145,501
275,242,234,415,145,500
274,243,234,413,146,500
274,243,236,415,145,501
274,243,235,415,144,502
274,243,235,415,144,503
275,243,236,415,145,503
275,243,235,414,145,502
274,244,235,414,145,501
275,242,236,414,145,501
274,243,236,414,144,501
275,242,234,413,145,500
274,243,236,414,144,501
274,243,235,414,145,502
274,242,235,414,146,501
274,242,235,414,145,503
274,242,236,413,145,502
274,242,236,414,144,503
274,243,235,414,146,502
275,242,235,414,146,502
275,241,235,415,145,502
274,242,235,415,146,501
274,241,235,415,145,500
273,242,235,415,145,500
274,241,235,415,146,502
274,242,235,415,146,500
273,241,235,414,145,500
273,242,235,415,145,499
273,243,234,412,145,499
273,244,224,410,145,498
272,244,224,406,146,498
273,244,224,405,146,498
273,245,224,407,145,496
273,245,224,406,146,494
