thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
466,638,484,551,110,968
467,638,484,549,110,967
466,637,484,551,110,967
466,637,484,552,111,968
466,639,484,552,111,968
466,639,484,551,111,968
467,640,484,552,111,968
467,640,483,552,111,967
468,640,484,552,110,967
467,639,484,553,110,967
467,640,483,553,110,966
467,641,484,552,111,967
468,641,482,553,111,968
468,641,483,555,111,967
467,641,484,554,112,967
468,641,484,554,111,967
468,640,483,555,111,968
468,642,483,555,111,967
467,641,485,554,110,968
465,641,484,554,111,967
468,642,484,555,111,966
466,641,484,554,111,968
466,642,484,554,111,967
466,642,484,554,111,967
467,642,484,555,111,967
467,642,484,554,111,968
468,643,484,554,111,967
468,643,484,554,111,967
468,642,484,555,111,966
468,643,483,554,111,966
468,642,484,554,111,967
467,642,485,555,111,966
465,642,483,555,112,966
464,642,483,554,110,965
464,642,483,554,111,965
464,643,483,554,111,966
465,642,483,554,111,965
466,641,483,555,110,965
467,642,484,555,112,965
466,641,483,554,111,965
466,642,483,555,111,965
466,642,483,554,111,965
464,642,484,553,111,965
464,643,484,554,111,965
465,643,484,554,111,965
465,643,484,553,111,964
464,642,483,554,110,964
464,642,483,554,110,964
464,642,483,555,110,964
464,642,482,553,110,964
464,641,483,554,110,964
464,642,483,555,110,963
463,642,483,554,111,964
463,642,483,555,110,964
463,641,483,555,110,964
463,642,482,555,110,964
463,642,483,555,110,963
464,641,482,555,110,964
464,641,481,555,110,964
464,641,482,556,110,964
463,641,483,556,109,962
464,642,483,556,110,963
464,640,484,555,110,963
463,640,483,555,110,963
464,639,484,554,110,963
465,637,485,554,110,963
466,638,485,554,110,964
468,638,485,554,109,963
469,639,486,552,110,964
469,639,486,553,109,963
470,638,486,553,110,962
469,639,486,553,110,963
471,640,486,553,110,963
470,640,485,552,110,963
471,640,486,551,110,963
470,640,486,552,110,964
471,640,486,550,110,963
470,640,485,551,110,963
470,641,486,551,110,963
471,642,487,550,110,963
470,642,487,550,109,962
470,643,487,552,109,963
470,642,487,552,110,962
470,642,487,552,110,964
470,642,487,554,110,961
467,642,487,553,110,964
467,642,486,552,110,964
467,642,486,553,110,963
466,642,487,552,110,963
465,643,486,552,111,963
465,643,486,552,111,963
463,642,487,551,110,963
464,642,486,552,111,962
464,643,486,553,111,963
461,640,487,552,111,963
462,642,487,551,111,963
462,642,486,550,111,962
462,643,486,552,111,963
462,643,486,550,111,963
462,643,486,551,110,962
459,642,486,550,110,963
457,640,484,550,111,962
450,640,482,550,112,961
446,639,480,552,112,961
440,638,479,553,112,961
443,636,478,553,112,961
436,636,479,552,112,962
446,636,478,554,112,961
441,636,478,553,113,963
445,633,479,554,112,963
442,634,479,555,113,964
443,635,479,555,112,964
446,636,478,555,112,963
449,636,479,554,112,964
449,637,479,556,113,966
450,637,479,557,113,965
452,637,479,557,112,964
453,638,480,556,113,964
454,638,479,554,113,964
455,638,480,555,112,965
456,639,480,546,113,965
457,639,480,548,113,965
458,640,481,548,113,965
458,640,480,552,113,966
459,640,480,551,114,966
460,640,481,554,113,966
460,640,481,553,113,964
461,640,481,555,113,965
460,639,481,556,114,965
461,640,482,557,113,964
462,639,482,557,113,963
464,640,482,555,113,966
464,640,482,552,112,967
466,638,482,552,113,966
466,640,483,553,113,966
468,640,483,553,114,966
469,640,481,553,113,967
469,640,483,546,113,966
469,640,483,552,113,968
471,640,484,553,113,968
469,640,484,551,114,967
471,639,484,554,113,968
469,641,485,552,112,966
469,641,485,553,112,968
471,640,485,554,113,969
472,641,485,554,112,969
474,641,485,554,113,968
476,643,485,553,113,971
476,642,485,553,113,966
478,642,485,554,112,969
478,641,485,555,113,969
479,642,486,558,112,970
479,642,486,557,111,970
480,642,486,556,112,969
480,643,486,557,112,970
480,642,485,556,112,970
481,643,486,554,111,969
481,643,486,554,110,970
482,643,486,554,111,970
483,643,486,551,109,970
484,643,486,553,109,970
486,643,485,556,109,970
483,643,486,555,109,970
483,643,486,557,109,970
485,644,487,558,108,970
484,642,486,559,109,970
486,644,487,558,109,970
485,643,488,555,109,970
485,643,488,557,109,970
485,644,487,559,109,970
485,643,488,558,108,969
486,644,489,557,108,971
485,644,489,558,109,971
487,644,488,558,109,969
488,644,489,559,109,970
489,644,489,558,109,971
489,645,489,557,109,970
490,644,489,557,109,972
490,644,489,558,109,970
488,644,489,559,109,970
488,644,489,560,109,971
490,644,488,560,110,970
488,642,488,559,110,971
486,642,487,558,111,970
483,640,486,556,109,969
480,640,485,560,109,970
473,642,483,560,108,971
470,642,483,563,108,971
470,638,482,561,108,971
466,638,479,563,108,970
467,637,481,563,108,970
463,638,477,564,109,970
466,637,479,565,108,970
461,638,479,565,107,970
466,639,479,565,108,970
467,641,478,566,108,971
471,641,480,566,108,971
469,641,480,565,107,971
468,641,482,566,108,971
470,640,482,570,108,972
471,642,482,570,108,971
469,643,484,569,108,972
467,644,484,566,107,972
469,644,484,569,107,973
468,644,485,566,107,972
470,644,485,568,107,973
468,645,485,568,107,972
469,644,485,569,107,973
471,646,485,569,107,973
472,645,485,569,107,973
473,646,484,571,107,972
474,646,485,573,107,973
475,646,485,572,108,972
476,646,484,574,109,973
477,645,483,575,108,973
477,647,484,575,108,973
478,646,484,575,109,971
480,646,484,577,109,972
481,647,484,577,108,972
480,646,484,576,109,973
481,646,484,577,109,973
481,647,481,577,109,973
481,648,482,578,110,972
481,649,482,578,109,973
483,648,482,577,109,973
483,649,481,577,110,973
484,649,481,576,110,972
486,650,483,577,111,973
488,649,482,578,111,973
486,649,482,577,111,973
487,650,483,578,110,973
487,649,482,578,112,973
488,649,482,578,111,973
488,649,483,579,111,972
487,649,483,580,112,972
488,649,482,579,112,972
