thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
398,492,508,675,115,908
399,492,507,674,116,909
399,490,507,675,115,907
399,490,508,674,116,908
398,491,507,673,114,908
398,491,507,675,115,908
398,492,507,674,116,908
398,491,507,674,115,909
398,491,508,674,116,908
397,492,508,675,115,907
398,492,507,675,116,905
397,491,507,674,116,906
397,492,509,675,115,907
397,491,508,674,115,908
398,490,507,674,115,907
397,490,508,674,114,908
396,490,507,674,116,908
396,490,507,674,114,908
396,491,507,674,115,908
396,491,507,674,116,908
397,492,506,674,115,908
397,491,507,674,116,910
396,492,508,674,114,908
397,492,508,674,116,907
397,491,507,673,115,907
398,492,507,674,115,908
398,493,507,674,115,908
398,492,507,673,115,907
398,493,506,674,116,908
398,494,507,674,115,907
397,492,507,673,115,907
399,492,507,673,115,908
398,493,507,673,114,906
399,493,507,674,115,905
399,493,506,674,114,907
399,493,507,673,115,907
399,493,506,673,115,908
398,493,506,672,115,906
399,493,505,673,116,906
399,493,505,672,115,907
399,493,504,673,116,907
399,492,505,674,116,907
399,493,505,674,116,907
399,492,505,674,116,908
399,491,506,674,116,906
399,493,506,674,115,907
400,493,506,674,114,905
399,493,507,674,115,908
399,494,506,673,115,907
399,494,506,672,116,906
399,494,506,674,115,907
399,493,506,673,115,907
399,493,505,674,115,906
399,492,507,674,115,908
400,491,506,674,116,907
399,492,506,673,114,908
400,492,508,673,115,908
399,492,507,674,115,906
399,492,506,672,115,906
400,493,507,674,116,908
399,492,506,673,115,909
399,492,508,674,114,907
399,492,506,673,116,908
399,493,507,674,113,908
400,493,507,673,115,908
399,493,505,674,114,909
399,495,508,674,114,909
399,493,506,673,115,907
399,494,507,674,114,908
400,494,506,673,115,908
398,494,507,674,114,909
399,494,507,671,115,909
398,494,508,674,115,909
398,494,506,674,115,910
399,494,507,674,116,908
399,494,508,673,115,910
398,494,508,673,115,910
399,495,508,674,116,910
399,494,508,674,115,909
399,494,507,674,116,910
399,494,507,673,115,909
398,495,508,675,114,908
398,494,507,674,116,909
399,494,507,673,115,909
398,495,508,674,116,911
398,493,508,673,116,910
399,492,508,673,116,909
397,491,508,674,117,909
398,492,507,675,114,908
397,492,507,674,116,909
398,493,508,673,116,909
398,493,508,674,116,907
398,493,507,675,116,909
398,494,508,674,116,910
398,494,507,674,117,910
399,495,508,674,116,910
399,494,507,675,115,910
399,494,507,674,116,909
399,494,508,674,115,908
400,495,507,675,115,909
401,495,508,674,116,907
401,496,508,675,115,911
401,496,507,675,116,909
404,495,508,674,115,910
401,495,508,675,115,909
400,495,509,675,117,909
401,495,508,675,116,910
401,495,508,675,116,910
402,496,508,675,116,909
402,496,508,674,116,907
