thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
197,484,423,478,260,814
196,484,423,479,259,815
196,483,422,478,260,815
196,484,423,478,260,815
196,484,423,478,260,815
196,484,423,477,260,814
197,483,422,478,260,814
197,484,422,477,259,813
196,484,423,477,260,813
195,483,423,477,259,813
196,482,423,479,259,812
196,484,423,478,260,812
196,483,422,479,259,810
196,483,424,478,260,811
196,483,421,478,260,811
196,483,422,478,259,811
196,484,422,478,260,811
197,483,422,478,259,812
196,482,423,478,260,811
196,483,423,478,260,812
197,483,422,479,260,813
197,484,423,478,259,813
196,484,423,479,259,812
197,484,422,478,260,813
196,483,423,478,260,813
197,483,423,478,260,813
196,484,422,478,260,813
197,482,424,478,260,812
196,483,422,478,260,812
197,483,422,478,260,813
196,482,422,477,260,812
196,483,422,478,260,813
197,483,423,478,259,813
197,483,422,478,259,813
196,485,422,478,260,813
196,483,422,479,259,813
197,483,422,478,259,814
196,483,422,477,261,814
196,483,423,478,260,814
197,484,422,478,260,814
197,484,423,478,260,815
197,483,422,478,260,815
197,484,422,478,260,815
196,485,422,478,259,814
197,484,423,478,259,815
197,483,422,478,260,815
197,484,422,478,260,814
197,484,422,479,260,815
196,484,422,479,259,815
197,483,422,479,260,815
197,484,422,479,259,815
197,484,423,480,260,814
197,484,423,479,260,816
197,484,422,478,260,816
197,484,423,480,260,816
197,485,423,479,260,816
197,485,423,479,260,817
196,485,424,480,260,817
197,485,424,479,261,817
196,485,424,479,260,816
197,485,424,479,261,817
197,485,425,479,261,817
197,485,424,478,261,817
197,486,424,478,260,816
197,486,424,480,261,818
196,486,424,479,260,817
197,486,424,479,260,817
197,486,424,479,260,817
197,486,424,478,260,818
197,486,425,480,261,817
196,487,425,480,260,818
197,486,424,479,261,818
197,486,424,479,260,818
197,486,424,480,261,818
197,486,424,479,261,818
196,486,424,480,260,819
196,486,424,480,261,818
197,486,425,479,261,819
197,487,425,479,260,818
198,487,425,479,261,819
197,486,424,479,260,819
197,487,424,479,260,817
197,488,425,480,260,818
197,487,424,479,261,818
197,487,425,480,261,819
197,487,424,480,260,819
196,488,425,480,261,817
197,488,424,480,260,818
197,488,425,479,260,818
196,488,425,479,261,819
197,488,424,480,261,818
197,488,424,479,260,819
196,489,425,479,259,819
197,488,425,480,260,819
197,488,425,480,260,819
196,488,424,480,261,819
197,488,425,480,261,819
197,489,425,480,260,817
196,488,425,480,261,818
197,488,424,480,261,819
197,488,424,480,261,818
197,487,425,480,261,818
197,488,425,479,261,820
197,488,426,479,260,819
197,488,424,480,260,819
197,487,424,480,261,818
196,487,424,480,261,819
197,487,424,479,260,818
197,488,425,480,260,817
197,488,424,480,261,817
198,487,425,480,261,818
197,487,425,479,261,817
196,488,425,479,262,817
197,488,425,480,260,817
197,488,425,481,261,818
197,488,425,479,260,818
196,488,425,480,261,818
196,488,425,480,260,820
197,488,426,480,260,819
197,488,425,480,261,819
196,489,425,480,261,818
196,488,424,481,261,818
197,488,425,481,261,816
196,488,425,480,261,820
196,488,425,480,260,819
197,489,426,480,261,819
196,489,426,481,260,819
197,488,425,480,261,820
196,488,425,481,260,819
196,489,425,481,261,819
197,489,425,480,261,819
197,489,425,480,260,819
197,489,425,480,260,821
197,489,425,480,262,820
197,491,426,481,260,820
197,489,426,480,261,819
196,489,425,481,261,819
197,489,425,481,261,818
196,489,425,481,261,817
196,488,425,480,261,817
196,488,425,480,262,817
196,488,425,480,261,817
195,489,425,480,260,817
195,489,425,480,261,816
195,489,426,481,261,816
196,490,424,481,261,816
195,489,425,480,261,816
196,490,424,480,261,816
196,489,425,480,261,815
195,490,425,480,262,816
195,489,426,480,261,816
196,489,425,480,261,817
196,489,425,481,261,817
196,489,426,480,261,816
195,489,424,480,262,815
196,489,424,480,262,815
195,489,426,480,261,815
195,489,424,480,261,816
196,489,425,479,261,816
196,489,425,480,261,816
196,489,425,479,262,816
195,488,426,480,261,817
197,489,424,480,261,817
196,488,426,480,261,816
195,489,425,480,260,817
196,488,424,480,261,815
195,489,425,480,261,817
196,488,425,481,261,817
196,488,425,480,261,816
196,487,424,479,261,816
195,487,424,480,261,816
195,487,425,480,262,816
196,487,424,480,261,816
195,486,426,480,261,816
196,486,425,479,261,816
195,486,424,479,261,818
196,486,424,480,261,817
195,487,424,479,260,816
195,488,423,479,261,816
196,487,424,479,261,816
196,488,424,480,260,816
196,487,425,480,261,817
196,487,425,479,261,816
196,488,425,480,262,815
195,488,425,479,261,814
196,488,425,480,261,812
196,488,425,479,261,812
