thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
245,236,192,438,123,451
245,236,192,436,123,448
246,237,191,439,124,445
245,236,191,438,124,445
246,237,191,439,124,446
246,237,191,440,125,447
246,238,192,439,125,449
246,240,192,439,125,452
246,238,192,440,125,449
246,239,193,441,125,451
247,239,192,441,125,451
247,242,191,441,126,454
247,240,193,441,126,448
245,240,192,440,126,450
246,240,192,441,125,450
246,239,190,442,127,448
245,238,191,441,126,449
246,237,191,442,126,446
245,238,191,440,126,443
243,237,193,439,126,439
244,238,193,441,126,436
245,241,195,442,125,440
246,241,195,443,126,433
246,242,194,444,125,427
245,242,195,445,125,428
244,242,196,444,125,435
245,243,196,446,125,437
244,244,196,446,126,436
244,244,197,445,125,434
244,245,198,445,126,433
244,245,198,445,126,432
243,245,198,445,125,432
243,244,198,446,125,431
244,244,198,447,125,429
243,245,199,447,126,431
244,245,198,446,125,430
244,244,199,446,125,431
244,244,198,446,125,430
244,245,199,446,125,429
245,245,198,446,125,431
244,244,199,446,125,430
246,244,199,446,125,428
245,244,198,445,125,430
246,244,199,444,125,428
246,245,199,444,125,425
246,243,199,445,124,424
247,243,200,447,123,424
247,243,199,446,123,422
246,244,199,445,121,426
247,244,198,445,120,427
247,244,199,444,121,426
246,244,199,445,121,427
247,245,201,443,121,428
247,245,200,443,122,427
247,245,200,442,122,429
247,245,200,441,123,430
248,246,200,442,122,433
247,246,201,441,123,437
247,246,200,442,123,436
246,247,201,442,123,439
246,246,201,443,123,439
247,247,200,444,123,440
247,248,200,443,123,441
247,248,200,444,123,444
246,247,200,444,124,442
247,247,200,444,124,442
247,248,200,444,123,440
248,248,200,444,123,441
248,249,200,444,124,438
248,249,200,444,124,439
248,249,201,445,124,439
248,250,200,444,123,442
249,250,200,444,124,440
248,250,201,445,123,440
249,250,201,445,123,444
249,251,201,444,124,445
249,251,201,445,124,447
249,250,200,447,124,445
249,251,201,445,124,448
250,251,200,447,124,449
249,250,200,447,123,451
250,250,200,447,124,452
250,251,200,449,124,454
250,252,200,448,123,455
251,251,201,448,124,456
250,251,201,448,124,456
250,252,200,448,124,456
250,251,203,448,124,456
250,252,201,449,124,456
249,252,201,449,123,455
250,252,201,449,123,452
250,252,202,448,124,448
249,252,201,448,122,447
250,252,201,449,123,447
250,252,202,450,123,446
250,252,203,449,123,447
250,252,201,449,123,449
250,252,202,449,123,449
250,252,202,450,124,451
250,252,201,450,124,452
250,252,201,450,124,451
250,253,200,450,124,452
249,252,200,450,124,452
250,252,200,449,125,451
250,253,200,450,124,449
250,251,202,450,124,447
250,251,202,449,123,446
250,251,202,448,123,444
250,252,202,449,124,443
251,251,202,449,122,445
250,252,202,449,122,447
251,252,203,450,123,448
250,252,203,450,122,448
250,252,204,451,123,449
250,252,202,451,123,450
251,252,203,451,122,450
250,252,202,452,123,452
250,251,203,451,123,452
250,252,203,452,123,453
250,253,202,451,123,454
250,253,202,450,122,455
250,253,202,451,123,455
250,252,202,451,123,454
251,252,203,451,123,456
250,253,204,451,123,456
251,253,203,450,123,457
251,253,203,451,122,456
251,253,204,451,124,460
250,253,203,449,124,459
251,253,203,450,124,462
250,253,203,450,125,459
249,253,203,449,125,457
251,253,203,449,124,459
250,254,204,448,124,459
248,253,204,450,124,460
249,253,204,450,124,460
250,253,204,448,124,462
249,253,204,448,124,462
250,252,204,448,125,462
249,253,204,449,124,463
249,252,204,449,125,463
249,253,205,447,126,464
249,253,205,445,126,463
250,254,204,445,126,463
250,253,205,445,125,464
250,254,204,445,125,466
251,253,203,445,125,467
249,254,204,445,124,467
250,253,204,445,125,468
250,255,203,445,125,468
250,254,203,444,124,468
249,254,204,443,126,469
250,254,202,442,125,471
251,254,203,443,125,470
249,254,202,444,125,470
250,254,203,442,125,470
250,254,203,440,125,469
250,254,203,441,125,465
250,253,203,438,125,462
251,253,202,437,125,463
250,251,203,437,125,464
250,253,202,436,124,465
250,252,202,437,124,465
250,250,203,435,125,466
250,251,203,436,125,467
250,252,202,435,125,468
250,252,202,435,125,469
250,251,203,432,125,470
250,252,203,432,125,470
250,252,203,432,125,469
250,253,203,431,124,472
250,253,203,430,125,472
251,252,203,431,125,471
250,252,203,429,125,472
250,252,204,431,126,474
251,253,203,435,125,473
251,253,203,433,126,473
251,252,203,433,126,475
250,252,203,433,125,474
250,253,203,435,125,475
250,253,202,435,125,474
251,253,204,435,124,474
250,254,203,434,125,475
251,254,204,434,125,474
250,255,203,433,124,475
250,254,203,433,125,473
250,254,204,433,125,474
251,254,204,434,125,474
251,254,204,434,126,475
251,255,204,433,125,474
252,254,204,433,125,475
251,254,204,435,125,475
250,254,204,434,124,477
250,254,203,434,125,476
251,253,203,435,125,475
250,254,204,435,125,477
251,254,205,434,125,476
251,255,205,434,125,477
252,254,205,434,126,476
250,254,204,434,125,477
252,255,205,435,125,475
251,254,204,435,125,475
251,253,205,436,125,474
251,255,204,436,126,474
251,254,205,436,126,474
251,255,204,436,125,475
251,254,204,436,126,476
251,254,205,436,126,475
251,255,205,435,126,475
251,254,204,437,126,477
251,255,204,436,126,477
251,254,204,436,126,475
252,254,205,435,126,475
251,255,205,436,126,475
252,255,205,436,125,473
252,254,204,436,125,473
251,254,205,435,126,472
251,254,206,436,125,473
251,253,204,436,125,472
251,254,206,436,126,473
251,254,205,436,126,473
251,254,205,436,126,475
251,254,205,436,125,476
251,254,205,436,125,476
250,255,205,436,126,476
251,255,205,437,126,476
252,254,205,437,126,476
250,254,205,437,126,477
251,255,205,436,126,478
252,255,205,436,126,478
251,255,206,436,126,478
251,254,206,437,126,478
251,255,206,437,126,478
251,254,205,437,126,477
