thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
532,651,473,599,91,976
532,652,472,600,92,975
531,652,472,598,91,976
531,652,472,598,91,975
531,650,471,597,91,975
529,652,471,597,90,974
530,652,471,596,91,974
531,651,470,597,90,974
530,652,471,596,90,974
531,651,470,596,91,973
531,652,471,598,91,974
531,653,472,598,91,974
531,653,472,599,91,974
531,652,472,599,90,975
532,652,472,600,91,974
531,653,471,600,90,974
531,653,473,601,90,974
532,654,472,601,92,973
532,653,471,601,91,973
532,652,472,601,91,974
532,652,472,602,91,974
531,653,471,601,90,973
533,653,472,601,91,973
532,654,471,601,91,974
532,652,471,601,91,973
532,653,470,601,91,973
532,652,470,600,91,973
532,653,470,601,91,973
533,653,470,600,92,972
532,653,470,600,92,972
532,652,470,601,91,972
532,652,471,600,91,972
532,653,471,599,91,972
533,653,471,599,91,973
531,653,472,599,90,974
532,653,472,598,91,973
531,653,472,598,91,972
532,651,471,597,91,972
532,653,471,597,91,971
531,652,471,597,90,972
531,652,471,596,90,973
531,653,472,595,91,972
531,652,472,594,91,972
532,652,471,593,91,971
532,652,471,594,91,973
532,652,471,593,91,973
532,652,471,594,91,971
532,652,471,592,91,972
533,652,471,594,91,972
532,652,471,594,92,971
533,652,471,593,91,972
533,652,472,594,90,970
533,653,471,593,91,972
533,653,470,594,91,972
531,653,471,593,91,972
532,652,470,593,91,973
531,651,470,592,92,972
532,651,469,587,91,972
532,652,469,586,92,971
532,651,470,584,90,972
531,650,467,585,91,972
533,651,468,586,91,971
531,651,468,588,92,971
532,651,469,588,92,971
532,650,469,589,91,971
532,652,470,591,91,972
533,653,470,591,93,972
534,652,470,591,92,971
533,652,470,592,93,972
533,653,471,593,92,972
533,652,471,592,93,972
534,651,472,593,92,972
533,651,472,593,92,972
534,651,472,593,92,971
534,651,471,593,92,972
535,651,471,592,92,971
533,650,472,592,92,971
534,650,472,591,92,972
535,650,471,591,92,971
534,650,471,592,92,972
535,651,472,593,93,972
535,651,471,593,92,971
534,651,472,593,92,972
535,650,472,593,91,971
536,651,473,593,93,972
536,650,473,593,92,971
536,651,473,594,92,972
536,651,472,594,93,972
535,650,474,594,92,971
536,650,473,593,93,971
535,650,472,594,93,971
535,651,472,595,93,972
536,652,472,594,93,971
537,652,472,595,93,971
537,651,471,591,93,971
536,651,472,595,93,971
536,651,470,591,94,970
537,651,470,595,94,968
537,651,469,595,93,970
537,651,469,591,94,971
536,651,470,594,95,971
536,651,471,592,94,971
536,651,471,592,94,971
537,651,472,592,94,971
536,651,471,590,94,970
536,651,471,589,94,971
534,651,471,582,94,969
535,650,470,583,94,970
535,650,470,583,93,970
534,651,469,582,94,970
535,651,469,582,94,969
534,652,470,587,94,970
535,651,469,584,94,969
536,652,469,584,94,969
535,652,470,583,94,970
536,651,470,585,95,970
537,652,469,580,94,969
536,652,469,580,94,971
536,652,470,574,95,969
536,651,467,573,95,969
536,651,468,569,95,969
