thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
711,534,631,640,427,998
711,532,631,641,427,999
712,532,631,641,427,998
711,530,631,640,426,998
710,530,631,640,427,994
709,529,629,639,426,996
710,528,630,639,427,995
710,527,629,640,427,995
709,529,630,638,427,996
709,530,630,639,427,997
709,529,630,640,428,997
710,532,643,640,429,998
711,533,640,641,430,997
711,533,640,641,429,997
711,532,642,641,431,997
711,532,644,642,430,998
711,533,641,640,430,996
711,533,644,641,429,997
712,532,631,641,430,997
712,533,642,641,430,996
711,534,644,642,431,997
711,533,632,642,431,997
711,534,632,642,432,997
712,535,642,642,432,997
712,534,640,642,432,997
712,535,641,642,432,997
711,535,643,641,432,997
712,535,642,641,433,997
712,534,641,642,433,997
712,534,643,643,432,996
712,533,642,644,433,997
712,533,638,644,432,997
713,532,642,644,432,997
712,533,641,644,433,998
712,533,646,643,433,997
712,533,647,643,433,998
712,533,646,643,432,997
711,533,647,644,433,997
712,534,644,644,434,998
712,534,644,643,433,997
712,534,643,643,433,997
713,535,642,644,433,997
711,535,633,644,432,997
712,535,633,644,432,997
712,535,634,644,433,997
713,536,633,643,431,996
712,536,633,644,432,997
712,536,633,644,432,996
712,537,634,644,432,997
712,537,635,644,430,997
712,537,634,645,432,997
713,535,634,644,432,997
712,536,633,644,432,998
713,537,635,645,432,997
712,535,634,645,432,997
712,536,644,644,432,997
712,535,645,644,431,997
709,535,644,643,431,997
709,535,645,644,430,995
708,534,642,644,429,996
709,534,644,643,429,997
709,534,641,643,427,996
710,533,646,643,426,996
710,533,644,643,426,997
700,532,643,643,425,997
697,532,645,643,424,998
694,530,641,642,424,997
688,529,641,642,424,996
684,529,642,641,424,997
682,530,634,640,423,997
682,529,641,641,423,997
681,529,647,642,422,997
681,528,642,642,420,998
680,527,633,641,420,996
681,527,633,641,419,997
681,527,634,641,417,997
682,527,635,641,417,997
682,527,634,639,416,997
682,528,635,640,415,997
682,529,636,641,415,997
682,530,637,642,415,998
682,531,637,640,414,997
681,531,637,641,413,998
682,532,637,641,413,997
683,532,637,641,414,997
683,533,637,640,413,997
682,532,637,640,413,997
683,534,637,639,414,997
683,534,638,640,415,997
684,534,638,641,414,995
683,535,638,641,413,997
684,535,638,640,413,997
684,535,638,640,414,997
684,534,639,641,414,997
685,535,639,641,414,999
685,534,639,641,414,998
684,534,640,641,415,997
684,534,639,642,415,998
685,535,639,642,415,997
685,534,639,642,415,998
686,535,639,643,415,998
687,534,640,643,415,998
686,534,640,642,415,998
686,534,640,643,415,998
686,534,641,643,415,998
686,535,640,643,416,999
686,534,640,644,416,997
685,532,641,644,415,998
686,533,642,644,416,997
686,534,641,644,416,997
686,533,641,644,416,998
685,533,640,644,416,998
685,533,640,644,417,998
686,532,640,644,416,996
686,533,640,644,416,998
686,532,641,644,416,998
685,532,640,644,417,997
686,531,639,643,416,997
685,529,639,644,416,998
685,529,640,644,416,997
685,528,639,645,416,997
685,528,638,644,415,997
683,527,637,644,415,998
682,526,636,643,413,996
