thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
298,547,509,590,128,976
298,548,509,591,128,977
296,548,508,591,127,976
296,547,508,590,127,975
297,548,508,590,126,971
292,539,501,582,125,973
294,544,506,588,126,967
292,539,503,584,125,959
287,536,499,581,124,954
285,534,501,585,125,968
283,530,493,579,124,962
288,535,496,580,124,955
287,535,501,584,125,966
287,541,503,589,126,970
290,546,508,593,127,975
290,547,508,592,127,974
289,546,507,589,126,969
287,545,506,589,126,971
288,544,506,589,127,971
288,544,505,587,126,966
287,543,505,587,126,969
289,545,506,590,127,970
290,546,507,591,127,974
291,546,508,591,128,974
292,548,508,592,127,974
292,547,507,592,128,975
293,548,508,591,128,975
293,548,509,592,126,976
294,548,508,591,128,975
294,548,509,590,128,975
294,548,508,592,128,976
294,548,508,592,127,976
295,549,509,591,128,976
295,549,508,590,127,974
294,549,510,589,127,976
295,549,509,589,129,976
294,550,509,591,127,977
295,549,509,591,127,978
294,549,509,591,127,977
295,549,509,590,127,976
291,547,506,588,128,975
290,537,500,584,126,972
291,548,506,589,127,973
289,548,509,593,128,973
288,547,507,587,126,958
283,543,506,586,127,974
287,541,501,580,125,956
285,542,506,588,127,971
287,543,507,590,127,976
279,528,493,578,125,962
282,537,501,584,126,969
287,544,505,586,127,972
286,540,502,583,126,969
287,541,503,584,126,972
288,543,504,586,126,971
288,540,503,586,126,975
290,542,503,584,126,970
291,543,505,588,127,973
291,542,506,587,125,971
290,541,506,587,127,972
292,541,505,587,126,974
293,545,506,591,127,977
294,545,506,590,126,972
291,542,504,586,126,974
292,545,506,589,126,974
293,545,505,590,126,974
292,546,508,591,127,978
292,539,497,571,118,923
288,534,499,582,125,969
287,535,499,584,125,965
292,541,503,586,125,969
292,543,505,590,125,950
292,540,502,581,124,957
292,544,504,584,126,963
288,533,496,576,125,956
296,541,502,577,124,962
296,544,508,587,127,973
297,547,510,591,127,977
297,547,510,589,127,976
297,545,508,590,128,975
296,545,505,587,126,966
298,548,510,593,127,976
297,547,507,593,127,975
296,542,504,589,126,968
299,548,511,593,126,961
294,539,501,580,124,946
293,540,504,587,125,965
297,548,511,593,127,976
299,550,510,593,127,971
297,548,509,592,126,974
300,551,513,595,128,979
301,550,513,592,127,975
297,544,508,586,127,976
299,548,506,587,127,971
299,548,509,590,127,975
300,550,509,590,127,975
299,549,509,588,126,969
297,543,502,582,125,967
298,548,506,588,127,974
300,550,508,590,127,974
300,551,508,591,127,975
299,547,505,587,126,972
300,549,507,585,125,967
298,546,505,584,124,968
297,545,504,584,125,968
298,545,506,587,125,973
301,549,510,592,126,978
300,549,507,590,125,973
299,549,509,593,126,979
301,550,510,592,125,980
302,555,513,596,126,983
302,552,508,593,125,981
302,551,508,595,124,978
301,551,507,591,124,977
300,548,507,594,124,978
298,547,501,585,121,971
294,543,499,586,122,963
295,543,497,586,123,981
301,551,496,589,123,976
300,551,495,590,122,981
302,547,493,588,122,984
302,550,493,587,123,981
301,549,491,588,121,982
303,550,490,590,122,984
304,552,492,593,121,985
303,552,491,595,121,986
303,553,489,592,121,983
300,553,490,591,122,983
302,554,489,593,121,986
302,556,492,598,122,983
300,554,492,598,122,984
301,554,493,600,122,983
300,555,493,598,120,984
300,554,493,598,121,983
299,553,493,598,120,983
300,555,495,598,120,983
300,554,493,598,120,982
300,554,494,597,119,986
301,556,494,597,120,986
300,557,496,599,120,986
301,556,494,602,119,985
300,557,495,601,119,986
300,556,495,601,120,984
298,555,495,602,118,988
299,555,496,603,119,987
298,556,498,604,119,988
298,558,499,604,119,990
298,556,499,603,119,988
297,557,499,601,118,989
298,557,500,600,117,989
297,557,500,598,118,989
296,555,498,598,117,988
295,555,499,599,118,988
295,557,499,600,118,988
293,558,501,600,119,989
291,558,501,601,118,988
290,557,501,602,119,988
290,557,500,602,119,990
291,559,501,601,118,988
291,557,500,601,119,989
290,555,500,600,116,986
290,553,500,600,115,985
289,554,501,600,116,988
290,555,501,601,116,987
290,554,500,600,116,988
289,556,501,602,115,988
289,555,501,602,115,987
288,555,501,600,116,986
288,556,501,601,116,986
287,556,500,599,116,983
287,553,499,599,116,983
287,553,499,601,116,984
286,552,499,602,116,984
287,556,502,604,116,987
289,555,500,605,115,987
289,555,500,604,116,988
288,555,500,606,116,988
288,555,499,607,116,988
286,554,499,606,116,988
284,556,500,605,115,988
282,556,500,605,115,988
282,557,499,606,116,988
281,557,499,605,116,988
282,558,498,605,116,988
282,557,499,604,117,988
283,558,499,606,117,989
282,558,499,605,115,988
283,557,497,604,115,987
283,556,497,604,117,986
284,555,496,603,116,984
284,555,497,603,115,984
284,556,497,604,116,983
285,555,497,606,116,985
284,557,499,608,117,986
283,555,500,608,116,986
284,555,497,606,117,988
284,556,499,609,116,987
283,557,499,609,116,987
282,557,499,609,116,987
283,558,499,611,116,989
281,557,502,610,117,990
281,559,502,611,117,989
281,559,502,612,118,989
281,559,502,612,119,989
281,560,501,613,118,990
281,559,502,613,119,990
281,560,501,614,119,990
281,561,502,614,119,989
282,561,502,615,119,991
282,562,503,614,120,990
282,562,502,614,120,990
283,563,503,614,119,990
282,561,503,615,119,989
282,562,503,614,119,990
281,562,501,615,119,989
281,562,500,614,119,989
280,561,500,613,120,990
279,562,500,614,120,990
279,562,500,615,119,990
278,562,499,615,120,991
277,564,499,616,120,990
278,563,500,617,119,990
278,563,499,617,121,990
278,564,502,617,120,990
277,566,501,618,120,990
277,565,500,617,120,990
277,566,501,618,121,990
277,567,501,617,121,989
277,566,501,619,119,990
276,567,501,618,120,990
276,567,501,619,120,990
276,567,501,618,120,990
275,567,503,618,120,990
277,566,504,619,120,989
