thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
295,275,255,391,169,764
294,275,255,390,168,764
294,276,255,390,168,764
294,276,256,388,167,765
294,275,256,390,168,765
293,276,256,390,168,765
294,275,256,390,168,765
294,275,256,391,168,765
294,276,256,391,168,765
294,276,255,392,170,765
295,276,255,391,168,766
294,276,255,390,168,765
296,275,254,392,168,764
296,275,255,391,168,765
296,276,255,391,168,764
294,275,255,390,168,765
295,276,255,391,169,764
293,276,256,391,169,764
293,276,255,392,169,766
292,276,255,391,169,765
291,276,256,392,169,766
291,276,257,392,169,766
292,276,256,391,168,765
292,276,256,392,169,766
292,277,256,392,169,767
293,276,256,393,169,767
294,276,256,393,170,767
294,276,256,393,170,767
294,276,256,394,169,767
294,276,256,394,170,766
294,277,256,394,169,767
294,277,257,394,169,767
294,276,257,394,169,767
294,276,256,393,169,767
294,276,256,394,169,767
293,276,257,393,170,766
295,277,257,393,170,766
293,276,256,394,169,767
291,277,257,392,170,767
291,276,256,392,170,767
290,276,256,392,171,767
291,276,257,392,171,767
290,277,257,393,171,768
291,277,257,392,171,768
292,277,256,393,171,767
294,277,257,391,171,768
296,278,256,392,171,767
297,278,257,393,171,768
299,277,257,393,171,768
300,278,257,393,171,768
301,278,256,393,171,768
302,278,257,393,171,768
304,278,256,393,171,767
304,277,257,393,171,766
305,278,257,394,171,766
305,277,256,393,171,765
306,278,255,393,171,765
308,277,256,392,170,765
308,277,255,392,171,764
308,278,255,393,171,764
308,279,255,392,170,765
310,278,254,391,171,764
311,279,255,392,170,764
311,278,254,392,170,764
311,279,254,393,172,763
312,280,254,393,171,764
312,279,254,392,173,764
313,279,254,394,174,765
313,279,253,393,174,765
313,279,253,394,174,765
313,279,253,393,176,765
313,279,253,394,176,764
311,280,253,394,175,763
313,279,251,394,175,764
313,279,250,393,174,764
312,278,249,394,175,763
313,278,248,395,175,763
314,278,248,395,174,761
314,279,248,394,175,763
313,279,247,394,175,761
313,279,248,395,175,761
314,278,247,394,174,761
313,278,247,395,175,760
313,278,247,394,174,760
313,278,247,394,174,760
313,277,245,394,174,760
313,277,245,394,175,760
314,278,243,394,175,759
313,278,246,394,175,759
314,277,245,394,176,758
314,277,246,395,175,758
315,277,246,394,175,759
314,276,246,394,175,761
315,276,246,394,175,760
314,276,246,395,175,760
314,276,246,394,175,759
314,277,246,394,175,759
314,276,246,394,177,761
316,276,247,395,176,760
315,275,248,394,176,761
314,274,251,394,177,762
315,276,252,393,177,762
315,276,251,394,177,761
315,275,252,394,177,761
314,274,252,393,176,761
314,275,253,392,175,762
314,275,252,394,174,762
314,275,252,393,175,763
314,276,252,393,174,763
314,275,254,393,174,763
313,275,254,392,174,764
314,275,254,393,174,764
314,275,253,393,174,764
